name,phone,fax,email,contact_name,units,address,Listing ID
Bandon Trails,(918) 299-4451,(918)299-2864,bandonleasing@bluestone-prop.com,Amber Lee,341,2505 E 88th St   Tulsa   OK 74137,bandonleasing
Brooklyn Place,(812) 303-7100,(812) 303-7102,brooklynleasing@bluestone-prop.com,Jake Snider,204,"6830 Brooklyn Court
Evansville   IN 47715",brooklynleasing
Eagle's Landing Apartments,(801) 973-2721,801-973-6288,eagleslandingleasing@bluestone-prop.com,Michelle Gonzales,378,"625 S Redwood Rd   
Salt Lake City   UT 84104",eagleslandingleasing
The Emerson Apartments,(512) 251-7000,,emersonleasing@bluestone-prop.com,Jeanene Clark,384,1221 New Meister Ln      Pflugerville   TX 78660,emersonleasing
Ethan Pointe,(336) 584-3337,(336) 538-1271,ethanpointeleasing@bluestone-prop.com,Karen Bacon,279,2978 Ethan Pointe Drive   Burlington NC 27215,ethanpointeleasing
Estates at Hollister,(713) 466-6350,713-466-6355,estatesleasing@bluestone-prop.com,Jessica Medrano,323,7740 W Little York Rd   Houston   TX 77040,estatesleasing
Glenmary Village,(502) 231-8323,,glenmaryleasing@bluestone-prop.com,Sylvia Roberts,274,9606 Clubview Dr   Louisville   KY 40291,glenmaryleasing
Gulf Breeze,(361) 334-9400  ,(361) 334-9403,gulfbreezeleasing@bluestone-prop.com,Sylvia Garza,200,6533 Patti Dr.   Corpus Christi   TX  78414,gulfbreezeleasing
Hickory Point,(615) 333-3150,(615) 333-3159,hickorypointleasing@bluestone-prop.com,Bryan Henning-Adcock,298,15180 Old Hickory Boulevard Nashville   TN  37211,hickorypointleasing
Houston Levee,(901) 382-8182,(901) 382-8131,houstonleveeleasing@bluestone-prop.com,Derrell Cook,289,9940 Paddle Wheele Lane   Cordova TN 38016,houstonleveeleasing
Inverness,(205) 366-3637,(205) 366-0637,invernessleasing@bluestone-prop.com,Trenese Crump,208,8816 Old Greensboro Rd. Tuscaloosa   AL  35405,invernessleasing
Lakeside at TownCenter,(770) - 420-2526,(770) - 420-2181,lakesideleasing@bluestone-prop.com,Joanne Harrington,360,425 Williams Dr   Marietta   GA 30066,lakesideleasing
Legends at Indian Springs,(502) 412- 6004,,legendsleasing@bluestone-prop.com,Rebecca Foster,212,"11000 Indian Legends Drive
Louisville   KY 40241",legendsleasing
Maplebook,(502) 873-3689,(502) 339-4940,maplebrookleasing@bluestone-prop.com,Prena Collins,200,11507 Maplebrook Drive   Louisville   KY 40241,maplebrookleasing
Marble Alley,(865) 544-1193,(865) 525-7516,marbleyalleyleasing@bluestone-prop.com,Amy Richardson,248,"300 State Street
Knoxville   TN 37902",marbleyalleyleasing
Oak Hill Apartments,(518) 283-8400,518-283-8300,oakhillleasing@bluestone-prop.com,Amanda Palmer-Sawyer,220,6601 Oak Hill Cir   Rensselaer   NY 12144,oakhillleasing
Oakleigh ,(225) 769-8708,(225) 769-3276,oakleighleasing@bluestone-prop.com,Debbie Zumo,296,11580 Perkins Rd.   Baton Rouge LA 70810,oakleighleasing
Orchard Hills,(812) 288-0953,(812) 288-2137,orchardleasing@bluestone-prop.com,Josh Martin,373,201 Orchard Hills Dr.  Jeffersonville   IN  47130,orchardleasing
Paddock at Eastpoint,(502) 243-8008,,paddockleasing@bluestone-prop.com,Carrie Fenley,500,13516 Skywatch Ln   Louisville   KY 40245,paddockleasing
Prinwood Place,(269) 324-4663,(269) 324-4372,prinwoodleasing@bluestone-prop.com,Meagan Bartee,115,2195 Captiva Island   Portage MI 49024,prinwoodleasing
Ranch 123,(830) 433-9323,(830) 433-9328,ranchleasing@bluestone-prop.com,Paula Garcia,180,3063 TX 123   Seguin TX 78155,ranchleasing
Reserve at Maryville,(865) 982-7420,(865) 982-7420,reserveleasing@bluestone-prop.com,Tiffany Sims,192,"100 Enterprise Way
Maryville   TN 37801",reserveleasing
Reserve at North River,(205) 247-9800,(205) 247-9876,northriverleasing@bluestone-prop.com,Lacrecia Hill,248,"1761 North Commons Loop
Tuscaloosa   AL 35406",northriverleasing
Stonebrook,(903) 509-3031,(903) 509-3119,stonebrookleasing@bluestone-prop.com,Melissa Goodwin,172,5058 Paluxy Dr.   Tyler   TX  75703,stonebrookleasing
Stoneleigh,(361) 985-1300 ,(361) 985-1911 ,stoneleighleasing@bluestone-prop.com,Monica Salazar,348,5750 Curtis Clark Rd.   Corpus Christi   TX  78412,stoneleighleasing
Summercrest,(817) 295- 7300,,summercrestleasing@bluestone-prop.com,Logan Young,240,"1320 NW Summercrest Blvd.
Burleson   Texas 76028",summercrestleasing
Towne West,(281) 496-4000,(281) 496-4009 ,townewestleasing@bluestone-prop.com,Melissa Floyd,396,"14906 Westpark Drive
Houston   TX 77082",townewestleasing
Tuscany Villas,(225) 291-0000 ,(225) 291-0001,tuscanyleasing@bluestone-prop.com,Ivra Amacker,274,10732 South Mall Dr.   Baton Rouge   LA  70809,tuscanyleasing
