name,phone,fax,email,contact_name,units,address,city,state,zip,listingid,website,application,marketing_phones,yardi_propertyid
Bandon Trails,(918) 299-4451,(918) 299-2864,bandonleasing@bluestone-prop.com,Amber Lee,341,2505 E 88th St,Tulsa,OK,74137,bandonleasing,http://www.bandontrails-apartments.com/,https://bandontrails-apartments.securecafe.com/onlineleasing/bandon-trails-apartments/guestlogin.aspx,,bandon
Brooklyn Place,(812) 303-7100,(812) 303-7102,brooklynleasing@bluestone-prop.com,Jake Snider,204,6830 Brooklyn Court,Evansville,IN,47715,brooklynleasing,http://www.brooklynplace-apartments.com/,https://brooklynplace-apartments.securecafe.com/onlineleasing/brooklyn-place-apartments/guestlogin.aspx,"8123150110, 8123150111, 8123150112",brooklyn
Eagle's Landing Apartments,(801) 973-2721,(801) 973-6288,eagleslandingleasing@bluestone-prop.com,Michelle Gonzales,378,625 S Redwood Rd,Salt Lake City,UT,84104,eagleslandingleasing,http://www.eagles-landing-apartments.com/,https://eagles-landing-apartments.securecafe.com/onlineleasing/eagle-s-landing-apartments-0/guestlogin.aspx,,eagles
The Emerson Apartments,(512) 251-7000,,emersonleasing@bluestone-prop.com,Jeanene Clark,384,1221 New Meister Ln,Pflugerville,TX,78660,emersonleasing,https://www.liveattheemerson.com/,https://liveattheemerson.securecafe.com/onlineleasing/the-emerson-2/guestlogin.aspx,,emerson
Ethan Pointe,(336) 584-3337,(336) 538-1271,ethanpointeleasing@bluestone-prop.com,Karen Bacon,279,2978 Ethan Pointe Drive,Burlington,NC,27215,ethanpointeleasing,http://www.ethanpointe-apartments.com/,https://ethanpointe.securecafe.com/onlineleasing/ethan-pointe-apartments/guestlogin.aspx,,ethan
Estates at Hollister,(713) 466-6350,(713) 466-6355,estatesleasing@bluestone-prop.com,Jessica Medrano,323,7740 W Little York Rd,Houston,TX,77040,estatesleasing,http://www.estatesathollister-apartments.com/,https://estatesathollister-apartments.securecafe.com/onlineleasing/estates-at-hollister/guestlogin.aspx,,estates
Glenmary Village,(502) 231-8323,,glenmaryleasing@bluestone-prop.com,Sylvia Roberts,274,9606 Clubview Dr,Louisville,KY,40291,glenmaryleasing,http://www.glenmaryvillage-apartments.com/,https://glenmaryvillage-apartments.securecafe.com/onlineleasing/glenmary-village-apartments/guestlogin.aspx,5022055641,glenmary
Gulf Breeze,(361) 334-9400,(361) 334-9403,gulfbreezeleasing@bluestone-prop.com,Sylvia Garza,200,6533 Patti Dr.,Corpus Christi,TX,78414,gulfbreezeleasing,http://www.gulfbreeze-apartments.com/,https://gulfbreeze-apartments.securecafe.com/onlineleasing/gulf-breeze-apartments/guestlogin.aspx,,gulf
Hickory Point,(615) 333-3150,(615) 333-3159,hickorypointleasing@bluestone-prop.com,Bryan Henning-Adcock,298,15180 Old Hickory Boulevard,Nashville,TM,37211,hickorypointleasing,http://www.hickorypoint-apartments.com/,https://hickorypoint-apartments.securecafe.com/onlineleasing/hickory-point-apartments/guestlogin.aspx,6152056098,nashhick
Houston Levee,(901) 382-8182,(901) 382-8131,houstonleveeleasing@bluestone-prop.com,Derrell Cook,289,9940 Paddle Wheele Lane,Cordova,TN,38016,houstonleveeleasing,https://www.houstonlevee-apartments.com/,https://houstonlevee-apartments.securecafe.com/onlineleasing/houston-levee-apartments/guestlogin.aspx,,levee
